"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"C18 (interacts with) R18","C18","R18",7.36472891729619e-06,4.46556540331759,14,2
"C22 (interacts with) A41","C22","A41",1.47394283517963e-10,5.14068094305208,10,1
"C22 (interacts with) C78","C22","C78",3.5877815757034e-20,5.66927665920954,10,1
"C22 (interacts with) C79","C22","C79",4.10129456352285e-06,4.71643843050706,10,2
"C22 (interacts with) D13","C22","D13",1.829139142918e-12,4.40924635491003,9,2
"C22 (interacts with) D62","C22","D62",1.0067027120822e-07,4.25254805831506,10,1
"C22 (interacts with) D63","C22","D63",3.99833563634968e-12,11.452512254902,8,1
"C22 (interacts with) D68","C22","D68",8.41043923438885e-19,5.10986213191142,10,1
"C22 (interacts with) D69","C22","D69",2.1876504058088e-18,5.01815481102492,10,1
"C22 (interacts with) E44","C22","E44",1.43832878199014e-12,4.08090497737557,11,1
"C22 (interacts with) E88","C22","E88",4.71082415510926e-21,5.72628107559614,11,1
"C22 (interacts with) I21","C22","I21",3.25367682592951e-07,5.53463624623332,7,1
"C22 (interacts with) J90","C22","J90",1.59563454354977e-05,4.27218831734961,11,2
"C22 (interacts with) K72","C22","K72",1.69120724160067e-43,5.45435514348202,13,1
"C22 (interacts with) K73","C22","K73",1.81540342566258e-11,5.75742506811989,5,1
"C22 (interacts with) K74","C22","K74",1.64666281797129e-47,8.12568323078365,9,1
"C22 (interacts with) N17","C22","N17",1.24257134372702e-12,4.56836892204785,10,1
"C22 (interacts with) R17","C22","R17",1.21094024689902e-14,6.27401496353109,9,1
"C22 (interacts with) R18","C22","R18",1.59418223460519e-67,10.8439150764565,12,1
"C22 (interacts with) S72","C22","S72",1.58648946206466e-05,4.0818179991561,11,1
"C22 (interacts with) Z22","C22","Z22",4.8152048899831e-29,10.6759268413248,9,1
"C34 (interacts with) A16","C34","A16",9.62550715446032e-09,4.03717929021355,11,1
"C34 (interacts with) B90","C34","B90",1.15333633207295e-14,6.5904347826087,11,1
"C34 (interacts with) D63","C34","D63",8.13379631227734e-06,4.44984802431611,11,1
"C34 (interacts with) J90","C34","J90",8.46866735657704e-08,4.43227632414948,13,2
"C50 (interacts with) B96","C50","B96",9.20236753230405e-06,4.45192936559843,12,2
"C50 (interacts with) C77","C50","C77",2.54981269181235e-18,6.99754524886878,10,2
"C50 (interacts with) C78","C50","C78",5.51882271418966e-37,12.9809882826853,9,2
"C50 (interacts with) C79","C50","C79",1.27483718567692e-42,13.1756373937677,10,2
"C50 (interacts with) D63","C50","D63",1.28684432289285e-05,4.36967699406724,9,2
"C50 (interacts with) J90","C50","J90",3.2032825408235e-07,5.19637487470765,9,2
"C50 (interacts with) M81","C50","M81",7.26924316658128e-15,4.98294072546531,7,2
"C50 (interacts with) Z51","C50","Z51",1.72932871822043e-14,9.97742493791858,8,2
